domain,email,type,source_url,discovery_method,method,priority,note
1stwebdesigner.com,info@1stwebdesigner.com,role-based,https://1stwebdesigner.com/contact,contact page,manual,hoch,Kontaktseite
23hq.com,support@23hq.com,role-based,https://www.23hq.com/contact,contact page,manual,hoch,Support-Adresse
acceleronlearning.com,support@acceleronlearning.com,role-based,https://acceleronlearning.com/contact,contact page,manual,hoch,Support-Adresse
accelo.com,support@accelo.com,role-based,https://www.accelo.com/contact,contact page,manual,hoch,Support-Adresse
aeroviews.co,hello@aeroviews.co,role-based,https://aeroviews.co/contact,contact page,manual,hoch,Kontaktseite
agencymavericks.com,hello@agencymavericks.com,role-based,https://agencymavericks.com/contact,contact page,manual,hoch,Kontaktseite
approveme.com,support@approveme.com,role-based,https://www.approveme.com/contact,contact page,manual,hoch,Support-Adresse
arlingtoneconomicdevelopment.com,info@arlingtoneconomicdevelopment.com,role-based,https://www.arlingtoneconomicdevelopment.com/contact,contact page,manual,hoch,Kontaktseite
atanet.org,info@atanet.org,role-based,https://atanet.org/contact,contact page,manual,hoch,Kontaktseite
attorneyatwork.com,editor@attorneyatwork.com,role-based,https://www.attorneyatwork.com/contact,contact page,manual,hoch,Redaktion
au.marketamerica.com,help@marketamerica.com,role-based,https://au.marketamerica.com/help,contact page,manual,hoch,Support-Adresse
barryodonovan.com,barry@barryodonovan.com,personal,https://barryodonovan.com,html scan,manual,hoch,Persönliche Seite
bench.co,support@bench.co,role-based,https://bench.co/contact,contact page,manual,hoch,Support-Adresse
betakit.com,editor@betakit.com,role-based,https://betakit.com/contact,contact page,manual,hoch,Redaktion
beyondthe.studio,hello@beyondthe.studio,role-based,https://beyondthe.studio/contact,contact page,manual,hoch,Kontaktseite
blog.beeminder.com,support@beeminder.com,role-based,https://www.beeminder.com/contact,contact page,manual,hoch,Hauptdomain-Kontakt
blog.betterworldclub.com,info@betterworldclub.com,role-based,https://betterworldclub.com/contact,contact page,manual,hoch,Hauptdomain-Kontakt
blog.matetranslate.com,info@matetranslate.com,role-based,https://matetranslate.com/contact,contact page,manual,hoch,Hauptdomain-Kontakt
blog.samuellevy.com,samuel@samuellevy.com,personal,https://samuellevy.com,html scan,manual,hoch,Persönliche Seite
bonobology.com,contact@bonobology.com,role-based,https://www.bonobology.com/contact-us,contact page,manual,hoch,Kontaktseite
breue.com,contact@breue.com,role-based,https://breue.com/contact,contact page,manual,hoch,Kontaktseite
ca.marketamerica.com,help@marketamerica.com,role-based,https://ca.marketamerica.com/help,contact page,manual,hoch,Support-Adresse
customboardbooks.pintsizeproductions.com,info@pintsizeproductions.com,role-based,https://pintsizeproductions.com/contact,contact page,manual,hoch,Hauptdomain-Kontakt
cutoutandkeep.net,editor@cutoutandkeep.net,role-based,https://www.cutoutandkeep.net/contact,contact page,manual,hoch,Redaktion
cyclehacker.com,editor@cyclehacker.com,role-based,https://cyclehacker.com/contact,contact page,manual,hoch,Redaktion
daemonology.net,brendan@daemonology.net,personal,https://daemonology.net,html scan,manual,hoch,Persönliche Seite
digitalshooter.co,hello@digitalshooter.co,role-based,https://digitalshooter.co/contact,contact page,manual,hoch,Kontaktseite
domainmondo.com,editor@domainmondo.com,role-based,https://www.domainmondo.com/p/contact.html,contact page,manual,hoch,Redaktion
elephantjournal.com,editor@elephantjournal.com,role-based,https://www.elephantjournal.com/contact,contact page,manual,hoch,Redaktion
en.wikipedia.org,info@wikimedia.org,role-based,https://wikimediafoundation.org/contact,contact page,manual,hoch,Wikimedia Kontakt
entrepreneur.com,editorial@entrepreneur.com,role-based,https://www.entrepreneur.com/contact,contact page,manual,hoch,Redaktion
eqvista.com,support@eqvista.com,role-based,https://eqvista.com/contact,contact page,manual,hoch,Support-Adresse
esurveyspro.com,support@esurveyspro.com,role-based,https://www.esurveyspro.com/contact,contact page,manual,hoch,Support-Adresse
eversign.com,support@eversign.com,role-based,https://eversign.com/contact,contact page,manual,hoch,Support-Adresse
fablabs.io,info@fablabs.io,role-based,https://fablabs.io/contact,contact page,manual,hoch,Kontaktseite
fastcompany.com,ideas@fastcompany.com,role-based,https://www.fastcompany.com/contact,contact page,manual,hoch,Redaktion
fidosavvy.com,info@fidosavvy.com,role-based,https://fidosavvy.com/contact,contact page,manual,hoch,Kontaktseite
flightslogic.com,support@flightslogic.com,role-based,https://www.flightslogic.com/contact,contact page,manual,hoch,Support-Adresse
forecast.app,support@forecast.app,role-based,https://forecast.app/contact,contact page,manual,hoch,Support-Adresse
forum.myeloma.org.uk,info@myeloma.org.uk,role-based,https://myeloma.org.uk/contact,contact page,manual,hoch,Hauptdomain-Kontakt
freelancewritingjobs.com,editor@freelancewritingjobs.com,role-based,https://freelancewritingjobs.com/contact,contact page,manual,hoch,Redaktion
freelancing.com.au,info@freelancing.com.au,role-based,https://freelancing.com.au/contact,contact page,manual,hoch,Kontaktseite
fundable.com,support@fundable.com,role-based,https://www.fundable.com/contact,contact page,manual,hoch,Support-Adresse
fundbox.com,support@fundbox.com,role-based,https://fundbox.com/contact,contact page,manual,hoch,Support-Adresse
genina.com,support@genina.com,role-based,https://www.genina.com/contact,contact page,manual,hoch,Support-Adresse
get.online,info@get.online,role-based,https://get.online/contact,contact page,manual,hoch,Kontaktseite
getmore.hosting,support@getmore.hosting,role-based,https://getmore.hosting/contact,contact page,manual,hoch,Support-Adresse
github.com,support@github.com,role-based,https://support.github.com,contact page,manual,hoch,Support-Adresse
growthsupply.com,hello@growthsupply.com,role-based,https://growthsupply.com/contact,contact page,manual,hoch,Kontaktseite
habr.com,editor@habr.com,role-based,https://habr.com/contacts,contact page,manual,hoch,offizielle Redaktion
hackmeatsv.foodtechconnect.com,info@foodtechconnect.com,role-based,https://foodtechconnect.com/contact,contact page,manual,hoch,Hauptdomain-Kontakt
harrylaou.com,harry@harrylaou.com,personal,https://harrylaou.com,html scan,manual,hoch,Persönliche Seite
hawaiianislands.io,hello@hawaiianislands.io,role-based,https://hawaiianislands.io/contact,contact page,manual,hoch,Kontaktseite
